"Painting","Year","Y","Color","Size"
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,17,"#0e0907",0.0549019607843
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Haupttafel mit Maestà; Szene by Duccio",1308,37,"#bf9f69",0.749019607843
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Haupttafel mit Maestà; Szene by Duccio",1308,35,"#ac8753",0.674509803922
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Haupttafel mit Maestà; Szene by Duccio",1308,34,"#8e6734",0.556862745098
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Altarbekrönung mit Pfingstzyklus; Szene by Duccio",1308,18,"#2d170d",0.176470588235
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Altarbekrönung mit Szenen zum Marientod; Szene by Duccio",1308,36,"#b5a181",0.709803921569
"Geburt Christi by Duccio",1308,8,"#972b1a",0.592156862745
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,42,"#b09c6c",0.690196078431
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,35,"#bea176",0.745098039216
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,42,"#b59b5b",0.709803921569
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,19,"#81340e",0.505882352941
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,28,"#482e16",0.282352941176
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Predella mit Szenen zur Versuchung Christi und Wundertaten; Szene by Duccio",1308,28,"#dbb28e",0.858823529412
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Predella mit Szenen zur Versuchung Christi und Wundertaten; Szene by Duccio",1308,223,"#2b3a62",0.38431372549
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Predella mit Szenen zur Versuchung Christi und Wundertaten; Szene by Duccio",1308,17,"#381f15",0.219607843137
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Predella mit Szenen zur Versuchung Christi und Wundertaten; Szene by Duccio",1308,22,"#553623",0.333333333333
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Predella mit Szenen zur Versuchung Christi und Wundertaten; Szene by Duccio",1308,27,"#58371c",0.345098039216
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,25,"#995b2d",0.6
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Predella mit Szenen zur Versuchung Christi und Wundertaten; Szene by Duccio",1308,24,"#c89e81",0.78431372549
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Gesamtansicht by Duccio",1308,19,"#ae3e09",0.682352941176
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Altarbekrönung mit Pfingstzyklus; Szene by Duccio",1308,18,"#923e1a",0.572549019608
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,31,"#9c6e3a",0.611764705882
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Altarbekrönung mit Szenen zum Marientod; Szene by Duccio",1308,37,"#977b4d",0.592156862745
